1584197738425Error: Configuration property "salt" is not defined   /api/user/signup
1584634372021TypeError: Cannot read property 'username' of undefined   /api/auth/login
1584634424263TypeError: Cannot read property 'username' of undefined   /api/auth/login
1585236992042SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585237737590SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585238065173TypeError: Cannot read property 'type_name' of null   /api/product/
1585238226838TypeError: Cannot read property 'type_name' of null   /api/product/
1585573097753s_product.name cannot be null   /api/product/createProduct
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/18/2020   (password incorrect)   /api/auth/login
4/18/2020   (some compulsory input data is missing)   /api/user/updateOne
4/18/2020   (some compulsory input data is missing)   /api/user/createOne
4/18/2020   (invalid userTypeName)   /api/user/createOne
2020-04-18, 4:53:27 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-18, 4:54:19 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-18, 7:59:31 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/product/getList
2020-04-18, 7:59:33 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 7:59:33 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/productType/getList
2020-04-18, 8:02:27 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:03:27 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:04:52 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:20:25 午後   (undefined)   /api/menuType/getList
2020-04-18, 8:21:19 午後   (undefined)   /api/menuType/getList
2020-04-18, 8:21:48 午後   (undefined)   /api/menuType/getList
2020-04-18, 8:22:23 午後   (undefined)   /api/menuType/getList
2020-04-18, 8:22:47 午後   (undefined)   /api/menuType/getList
2020-04-18, 8:23:30 午後   (undefined)   /api/menuType/getList
2020-04-18, 8:25:09 午後   (menuTypeList not found)   /api/menuType/getList
2020-04-18, 8:26:02 午後   (menuTypeList not found)   /api/menuType/getList
2020-04-18, 8:28:32 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:28:52 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:30:49 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:31:12 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
